action_state,frame_count,replay_count,player_count,pct_grounded,pct_of_total
20,11679966,7500,15000,100.0,8.449
25,7455366,7500,15000,0.0,5.393
90,7284029,7500,14933,0.0,5.2691
27,5525705,7500,15000,0.0,3.9972
67,4558205,7500,14991,0.0,3.2973
43,4443588,7500,14996,100.0,3.2144
88,4242689,7500,14973,0.0,3.0691
14,4168747,7500,15000,100.0,3.0156
24,3721538,7500,15000,100.0,2.6921
65,3381013,7500,14965,0.0,2.4457
29,3364134,7500,15000,0.0,2.4335
42,3057787,7500,15000,100.0,2.2119
354,2702780,7489,14527,0.0,1.9551
69,2608327,7500,14949,0.0,1.8868
12,2341732,7500,14772,0.0,1.6939
63,2335101,7453,13948,100.0,1.6892
183,2150894,7500,14931,30.55,1.5559
221,2011873,7479,14207,100.0,1.4553
18,1998891,7500,15000,100.0,1.4459
68,1936818,7494,14503,0.0,1.401
212,1816927,7500,14916,100.0,1.3143
72,1669098,7500,14944,100.0,1.2074
179,1610697,7496,14895,100.0,1.1651
87,1539174,7444,13790,0.0,1.1134
4,1533323,5258,6954,0.0,1.1092
56,1431601,7440,13748,100.0,1.0356
74,1336950,7499,14919,100.0,0.9671
50,1327126,7193,12330,100.0,0.96
21,1314004,7500,14978,100.0,0.9505
70,1287401,7500,14954,100.0,0.9313
356,1281900,7459,13980,0.0,0.9273
26,1246776,7500,14895,0.0,0.9019
89,1187807,7306,12700,0.0,0.8592
178,1181690,7500,14970,100.0,0.8548
0,1142676,7324,12150,0.0,0.8266
253,1093499,7500,14939,0.0,0.791
236,1084771,7500,14973,0.0,0.7847
252,1028252,7500,14942,0.0,0.7438
199,1023915,7424,13718,100.0,0.7407
181,990093,7471,14405,100.0,0.7162
200,935558,7019,11477,100.0,0.6768
350,927739,7459,13926,0.0,0.6711
360,913561,7500,14997,100.0,0.6608
39,888392,7500,14999,100.0,0.6426
28,857302,7450,14006,0.0,0.6202
91,819992,6164,8941,0.0,0.5932
345,801565,7413,13256,0.0,0.5798
233,797763,6764,10574,100.0,0.5771
235,773714,7148,11946,100.0,0.5597
201,744775,6771,10384,100.0,0.5388
38,710632,7492,14371,0.0,0.5141
187,655931,6202,8893,100.0,0.4745
361,652615,7500,14985,100.0,0.4721
85,651427,7439,13780,1.86,0.4712
244,650490,7064,13178,0.0,0.4705
352,645713,7377,13236,0.0,0.4671
79,629575,7409,13396,81.18,0.4554
73,616172,7459,13967,100.0,0.4457
44,607929,7299,12867,100.0,0.4398
86,603349,7068,11370,0.12,0.4364
57,600913,6716,10280,100.0,0.4347
234,579692,6361,9444,100.0,0.4193
197,573183,6370,9254,100.0,0.4146
366,539546,7497,14624,0.0,0.3903
182,525591,7438,13830,100.0,0.3802
186,462737,6252,8932,100.0,0.3347
15,433637,7500,14884,100.0,0.3137
358,433515,7312,12844,0.0,0.3136
365,424841,7500,14791,0.0,0.3073
191,414258,6953,11171,21.25,0.2997
40,397974,7474,14289,100.0,0.2879
217,369089,4618,5781,100.0,0.267
2,345254,4548,5580,0.0,0.2497
241,343561,7479,14207,83.01,0.2485
196,325635,5140,6682,100.0,0.2356
344,321782,7412,13263,0.0,0.2328
16,317061,7487,14413,100.0,0.2294
80,313699,6761,10471,39.12,0.2269
1,313431,4350,5236,0.0,0.2267
76,305255,7330,12732,67.69,0.2208
66,298409,6177,8887,0.0,0.2159
60,295524,4471,5575,100.0,0.2138
35,287535,6779,10221,0.0,0.208
228,265845,4306,5301,100.0,0.1923
255,257053,4314,5215,34.98,0.1859
227,243057,7473,14105,100.0,0.1758
216,235100,7480,14226,100.0,0.1701
263,230895,4676,5857,0.17,0.167
180,222123,6903,10980,100.0,0.1607
64,212102,3515,4091,100.0,0.1534
13,199540,5594,7439,0.0,0.1443
194,192458,4471,5473,100.0,0.1392
184,179946,5832,8051,100.0,0.1302
77,179014,5771,7836,6.51,0.1295
259,178265,2813,3217,58.7,0.129
220,176792,3649,4227,100.0,0.1279
82,173060,6113,8518,79.06,0.1252
193,161708,5654,7374,25.83,0.117
71,157735,5845,8094,100.0,0.1141
213,154009,7487,14421,100.0,0.1114
219,147952,2968,3352,100.0,0.107
41,146938,7173,11911,100.0,0.1063
363,145950,4955,6289,100.0,0.1056
351,145518,7432,13595,0.0,0.1053
226,132678,7489,14436,100.0,0.096
7,130516,1603,1706,0.0,0.0944
257,129962,2042,2220,56.73,0.094
45,120234,3644,4332,100.0,0.087
23,117553,7431,13747,100.0,0.085
195,115807,1989,2156,100.0,0.0838
188,115486,2570,2846,100.0,0.0835
262,114120,4679,5860,0.15,0.0826
368,109261,4187,5061,0.0,0.079
189,108031,2436,2693,100.0,0.0781
214,107703,3375,3914,100.0,0.0779
53,106021,2850,3223,100.0,0.0767
369,105662,7289,12389,0.0,0.0764
6,91546,1604,1707,0.0,0.0662
17,83079,5238,6750,100.0,0.0601
251,79660,4225,5186,0.0,0.0576
346,67663,4633,5802,0.0,0.0489
357,66387,5694,7782,100.0,0.048
32,55204,3196,3646,0.0,0.0399
19,54672,3571,4190,100.0,0.0395
55,53628,1746,1849,100.0,0.0388
239,53262,2968,3352,86.42,0.0385
83,48745,2015,2174,1.07,0.0353
349,48491,1053,1142,100.0,0.0351
225,48445,1281,1357,0.37,0.035
264,47283,317,360,100.0,0.0342
224,46842,4537,5631,0.25,0.0339
254,46579,740,763,9.98,0.0337
261,45240,1401,1491,0.11,0.0327
192,42257,2640,2943,100.0,0.0306
364,41362,5648,7588,100.0,0.0299
