from_state,to_state,transition_count,replay_count,player_count,pct_of_all_transitions
18,20,1193030,7500,14987,8.146
24,25,819237,7500,15000,5.5937
20,18,782063,7500,14849,5.3399
20,24,562510,7500,15000,3.8408
14,18,255144,7500,14971,1.7421
43,14,228718,7500,14972,1.5617
14,20,217640,7500,14984,1.486
236,43,214312,7500,14963,1.4633
65,70,174113,7500,14954,1.1888
20,21,173833,7500,14977,1.1869
24,43,172818,7495,14454,1.18
361,24,166208,7500,14972,1.1349
360,361,165061,7500,14982,1.127
25,65,160440,7500,14935,1.0955
39,360,157575,7500,14970,1.0759
67,72,155009,7500,14944,1.0584
252,253,145887,7500,14939,0.9961
69,74,141616,7499,14919,0.967
14,24,129334,7500,14892,0.8831
24,26,129054,7500,14893,0.8812
42,18,127302,7499,14906,0.8692
29,27,122263,7500,14912,0.8348
253,29,120050,7499,14841,0.8197
42,20,116255,7500,14861,0.7938
24,212,102325,7497,14701,0.6987
25,236,101746,7487,14529,0.6947
25,67,99432,7493,14771,0.6789
15,20,99052,7339,12637,0.6763
25,69,95034,7492,14640,0.6489
29,42,85960,7482,14704,0.5869
179,24,85894,7463,14172,0.5865
25,42,81709,7482,14479,0.5579
344,345,81239,7409,13235,0.5547
70,14,79217,7484,14494,0.5409
212,213,78552,7487,14421,0.5364
365,366,77894,7492,14387,0.5319
178,179,73302,7435,14146,0.5005
20,29,73177,7405,14138,0.4997
345,42,70159,7320,12570,0.479
366,27,70033,7481,14265,0.4782
241,90,69512,7479,14207,0.4746
72,14,69097,7461,14309,0.4718
67,42,68921,7482,14380,0.4706
21,23,68069,7431,13741,0.4648
21,24,67653,7470,14325,0.4619
42,24,65682,7462,14098,0.4485
68,73,64636,7459,13967,0.4413
27,236,64404,7426,13763,0.4397
88,183,64056,7494,14582,0.4374
181,179,63583,7435,13849,0.4341
213,216,63511,7472,14109,0.4337
14,15,59078,7199,12015,0.4034
216,221,56586,7455,13820,0.3864
25,68,56079,7455,13754,0.3829
226,227,55560,7473,14105,0.3794
42,15,55462,7391,13468,0.3787
221,14,53763,7443,13713,0.3671
23,39,53224,7331,12732,0.3634
354,356,52442,7458,13969,0.3581
25,344,51328,7084,11426,0.3505
25,27,51303,7418,13555,0.3503
18,24,49932,7437,13722,0.3409
27,67,49588,7435,13829,0.3386
29,252,49381,7426,13733,0.3372
20,182,49172,6375,9297,0.3357
227,241,47120,7440,13690,0.3217
42,178,45910,7368,13350,0.3135
350,351,43727,7432,13582,0.2986
27,354,41722,7399,13421,0.2849
20,178,41637,6528,9545,0.2843
24,63,41177,7351,12956,0.2812
27,42,41085,7363,13098,0.2805
25,365,40594,7371,12954,0.2772
182,179,39925,7121,11955,0.2726
